[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.819976	valid_1's auc: 0.818502
[83]	training's auc: 0.870576	valid_1's auc: 0.856172
[84]	training's auc: 0.870775	valid_1's auc: 0.856279
[85]	training's auc: 0.870978	valid_1's auc: 0.856352
[86]	training's auc: 0.871073	valid_1's auc: 0.856333
[87]	training's auc: 0.871144	valid_1's auc: 0.856345
[88]	training's auc: 0.871318	valid_1's auc: 0.856332
[89]	training's auc: 0.871408	valid_1's auc: 0.85631
[90]	training's auc: 0.871569	valid_1's auc: 0.856301
[91]	training's auc: 0.871635	valid_1's auc: 0.856292
[92]	training's auc: 0.871825	valid_1's auc: 0.856333
[93]	training's auc: 0.871891	valid_1's auc: 0.85632
[94]	training's auc: 0.871986	valid_1's auc: 0.85632
[95]	training's auc: 0.872141	valid_1's auc: 0.856355
[96]	training's auc: 0.872411	valid_1's auc: 0.856355
[97]	training's auc: 0.872602	valid_1's auc: 0.856408
[98]	training's auc: 0.872736	valid_1's auc: 0.856402
[99]	training's auc: 0.872808	valid_1's auc: 0.856355
[100]	training's auc: 0.87292	valid_1's auc: 0.856346
[101]	training's auc: 0.872974	valid_1's auc: 0.856341
[102]	training's auc: 0.873239	valid_1's auc: 0.856432
[103]	training's auc: 0.873366	valid_1's auc: 0.856416
[104]	training's auc: 0.873484	valid_1's auc: 0.856438
[105]	training's auc: 0.873622	valid_1's auc: 0.856489
[106]	training's auc: 0.873843	valid_1's auc: 0.856533
[107]	training's auc: 0.873938	valid_1's auc: 0.856514
[108]	training's auc: 0.874129	valid_1's auc: 0.856459
[109]	training's auc: 0.874184	valid_1's auc: 0.856446
[110]	training's auc: 0.87438	valid_1's auc: 0.856479
[111]	training's auc: 0.874489	valid_1's auc: 0.85647
[112]	training's auc: 0.874619	valid_1's auc: 0.856568
[113]	training's auc: 0.874673	valid_1's auc: 0.85655
[114]	training's auc: 0.874813	valid_1's auc: 0.856578
[115]	training's auc: 0.874928	valid_1's auc: 0.856568
[116]	training's auc: 0.875064	valid_1's auc: 0.856613
[117]	training's auc: 0.875119	valid_1's auc: 0.856618
[118]	training's auc: 0.875293	valid_1's auc: 0.856634
[119]	training's auc: 0.875437	valid_1's auc: 0.856632
[120]	training's auc: 0.875596	valid_1's auc: 0.856563
[121]	training's auc: 0.87568	valid_1's auc: 0.85655
[122]	training's auc: 0.875743	valid_1's auc: 0.856593
[123]	training's auc: 0.875766	valid_1's auc: 0.856591
[124]	training's auc: 0.875822	valid_1's auc: 0.856584
[125]	training's auc: 0.875892	valid_1's auc: 0.856583
[126]	training's auc: 0.87597	valid_1's auc: 0.856583
[127]	training's auc: 0.876058	valid_1's auc: 0.856581
[128]	training's auc: 0.876192	valid_1's auc: 0.856592
[129]	training's auc: 0.876263	valid_1's auc: 0.856609
[130]	training's auc: 0.876478	valid_1's auc: 0.856653
[131]	training's auc: 0.876631	valid_1's auc: 0.856676
[132]	training's auc: 0.876834	valid_1's auc: 0.856704
[133]	training's auc: 0.876933	valid_1's auc: 0.856691
[134]	training's auc: 0.876968	valid_1's auc: 0.85669
[135]	training's auc: 0.877016	valid_1's auc: 0.856687
[136]	training's auc: 0.877138	valid_1's auc: 0.856705
[137]	training's auc: 0.877186	valid_1's auc: 0.856698
[138]	training's auc: 0.877249	valid_1's auc: 0.856681
[139]	training's auc: 0.877333	valid_1's auc: 0.856672
[142]	training's auc: 0.877849	valid_1's auc: 0.856848
[143]	training's auc: 0.877921	valid_1's auc: 0.856865
[144]	training's auc: 0.878016	valid_1's auc: 0.856943
[145]	training's auc: 0.878082	valid_1's auc: 0.856946
[146]	training's auc: 0.878129	valid_1's auc: 0.856959
[147]	training's auc: 0.878214	valid_1's auc: 0.856955
[148]	training's auc: 0.878273	valid_1's auc: 0.856965
[149]	training's auc: 0.878414	valid_1's auc: 0.856938
[150]	training's auc: 0.87845	valid_1's auc: 0.856931
[151]	training's auc: 0.878562	valid_1's auc: 0.856946
[152]	training's auc: 0.878696	valid_1's auc: 0.856973
[153]	training's auc: 0.878769	valid_1's auc: 0.856971
[154]	training's auc: 0.878916	valid_1's auc: 0.856952
[155]	training's auc: 0.87896	valid_1's auc: 0.856948
[156]	training's auc: 0.879034	valid_1's auc: 0.856949
[157]	training's auc: 0.879135	valid_1's auc: 0.856968
[158]	training's auc: 0.879206	valid_1's auc: 0.85697
[159]	training's auc: 0.879294	valid_1's auc: 0.856994
[160]	training's auc: 0.879372	valid_1's auc: 0.856976
[161]	training's auc: 0.87944	valid_1's auc: 0.857028
[162]	training's auc: 0.879593	valid_1's auc: 0.857042
[163]	training's auc: 0.879635	valid_1's auc: 0.857026
[164]	training's auc: 0.879789	valid_1's auc: 0.857054
[165]	training's auc: 0.879833	valid_1's auc: 0.857046
[166]	training's auc: 0.879901	valid_1's auc: 0.857063
[167]	training's auc: 0.879941	valid_1's auc: 0.85705
[168]	training's auc: 0.879954	valid_1's auc: 0.857047
[169]	training's auc: 0.880076	valid_1's auc: 0.85706
[170]	training's auc: 0.880148	valid_1's auc: 0.85706
[171]	training's auc: 0.880215	valid_1's auc: 0.857046
[172]	training's auc: 0.880365	valid_1's auc: 0.857073
[173]	training's auc: 0.880456	valid_1's auc: 0.857124
[174]	training's auc: 0.880614	valid_1's auc: 0.857186
[175]	training's auc: 0.88068	valid_1's auc: 0.857153
[176]	training's auc: 0.880808	valid_1's auc: 0.857212
[177]	training's auc: 0.880907	valid_1's auc: 0.857207
[178]	training's auc: 0.880947	valid_1's auc: 0.857185
[179]	training's auc: 0.881016	valid_1's auc: 0.857163
[180]	training's auc: 0.881088	valid_1's auc: 0.85716
[181]	training's auc: 0.881175	valid_1's auc: 0.857168
[182]	training's auc: 0.881226	valid_1's auc: 0.85717
[183]	training's auc: 0.881306	valid_1's auc: 0.857173
[184]	training's auc: 0.881437	valid_1's auc: 0.857182
[185]	training's auc: 0.881565	valid_1's auc: 0.857198
[186]	training's auc: 0.881724	valid_1's auc: 0.857237
[187]	training's auc: 0.881777	valid_1's auc: 0.857235
[188]	training's auc: 0.881855	valid_1's auc: 0.857224
[189]	training's auc: 0.881942	valid_1's auc: 0.857211
[190]	training's auc: 0.881983	valid_1's auc: 0.857217
[191]	training's auc: 0.882041	valid_1's auc: 0.857213
[192]	training's auc: 0.882214	valid_1's auc: 0.857292
[193]	training's auc: 0.882316	valid_1's auc: 0.857297
[194]	training's auc: 0.882431	valid_1's auc: 0.857307
[195]	training's auc: 0.882515	valid_1's auc: 0.857335
[196]	training's auc: 0.882561	valid_1's auc: 0.857325
[197]	training's auc: 0.882617	valid_1's auc: 0.857324
[198]	training's auc: 0.882665	valid_1's auc: 0.857316
[199]	training's auc: 0.882755	valid_1's auc: 0.857308
[200]	training's auc: 0.882789	valid_1's auc: 0.857331
[201]	training's auc: 0.882855	valid_1's auc: 0.857363
[202]	training's auc: 0.882915	valid_1's auc: 0.857341
[203]	training's auc: 0.882949	valid_1's auc: 0.857338
[204]	training's auc: 0.883075	valid_1's auc: 0.857329
[205]	training's auc: 0.883112	valid_1's auc: 0.857322
[206]	training's auc: 0.883205	valid_1's auc: 0.857336
[207]	training's auc: 0.883261	valid_1's auc: 0.857334
[208]	training's auc: 0.88338	valid_1's auc: 0.857339
[209]	training's auc: 0.88345	valid_1's auc: 0.85735
[210]	training's auc: 0.883515	valid_1's auc: 0.857372
[211]	training's auc: 0.883565	valid_1's auc: 0.857376
[212]	training's auc: 0.883634	valid_1's auc: 0.857361
[213]	training's auc: 0.883724	valid_1's auc: 0.857351
[214]	training's auc: 0.88378	valid_1's auc: 0.857325
[215]	training's auc: 0.883822	valid_1's auc: 0.857315
[216]	training's auc: 0.883871	valid_1's auc: 0.857302
[217]	training's auc: 0.883924	valid_1's auc: 0.857284
[218]	training's auc: 0.88405	valid_1's auc: 0.857288
[219]	training's auc: 0.8841	valid_1's auc: 0.857279
[220]	training's auc: 0.884212	valid_1's auc: 0.857326
[221]	training's auc: 0.884251	valid_1's auc: 0.857302
[222]	training's auc: 0.884341	valid_1's auc: 0.857319
[223]	training's auc: 0.884342	valid_1's auc: 0.857323
[224]	training's auc: 0.88435	valid_1's auc: 0.857336
[225]	training's auc: 0.88446	valid_1's auc: 0.857344
[226]	training's auc: 0.884555	valid_1's auc: 0.857346
[227]	training's auc: 0.884563	valid_1's auc: 0.857326
[228]	training's auc: 0.884636	valid_1's auc: 0.857335
[229]	training's auc: 0.884767	valid_1's auc: 0.857327
[230]	training's auc: 0.884904	valid_1's auc: 0.857339
[231]	training's auc: 0.885016	valid_1's auc: 0.857321
[232]	training's auc: 0.885106	valid_1's auc: 0.857312
[233]	training's auc: 0.885138	valid_1's auc: 0.857302
[234]	training's auc: 0.885195	valid_1's auc: 0.857295
[235]	training's auc: 0.885317	valid_1's auc: 0.857289
[236]	training's auc: 0.885383	valid_1's auc: 0.857357
[237]	training's auc: 0.885428	valid_1's auc: 0.857355
[238]	training's auc: 0.885583	valid_1's auc: 0.857382
[239]	training's auc: 0.885623	valid_1's auc: 0.857378
[240]	training's auc: 0.885718	valid_1's auc: 0.857353
[241]	training's auc: 0.885726	valid_1's auc: 0.857355
[242]	training's auc: 0.885794	valid_1's auc: 0.857344
[243]	training's auc: 0.885838	valid_1's auc: 0.857322
[244]	training's auc: 0.885867	valid_1's auc: 0.857322
[245]	training's auc: 0.885955	valid_1's auc: 0.857318
[246]	training's auc: 0.886046	valid_1's auc: 0.857337
[247]	training's auc: 0.886108	valid_1's auc: 0.857349
[248]	training's auc: 0.886173	valid_1's auc: 0.857354
[249]	training's auc: 0.886213	valid_1's auc: 0.857356
[250]	training's auc: 0.886325	valid_1's auc: 0.857318
[251]	training's auc: 0.886369	valid_1's auc: 0.857298
[252]	training's auc: 0.886448	valid_1's auc: 0.857315
[253]	training's auc: 0.886564	valid_1's auc: 0.857316
[254]	training's auc: 0.886633	valid_1's auc: 0.857322
[255]	training's auc: 0.8867	valid_1's auc: 0.857303
[256]	training's auc: 0.886785	valid_1's auc: 0.857305
[257]	training's auc: 0.886816	valid_1's auc: 0.857287
[258]	training's auc: 0.886899	valid_1's auc: 0.85733
[259]	training's auc: 0.886938	valid_1's auc: 0.857317
[260]	training's auc: 0.88698	valid_1's auc: 0.857322
[261]	training's auc: 0.887115	valid_1's auc: 0.857375
[262]	training's auc: 0.887154	valid_1's auc: 0.857351
[263]	training's auc: 0.887246	valid_1's auc: 0.85734
[264]	training's auc: 0.887295	valid_1's auc: 0.857331
[265]	training's auc: 0.887306	valid_1's auc: 0.857332
[266]	training's auc: 0.887372	valid_1's auc: 0.857314
[267]	training's auc: 0.887432	valid_1's auc: 0.857303
[268]	training's auc: 0.887498	valid_1's auc: 0.857315
[269]	training's auc: 0.887527	valid_1's auc: 0.857318
[270]	training's auc: 0.887655	valid_1's auc: 0.857352
[271]	training's auc: 0.887727	valid_1's auc: 0.857371
[272]	training's auc: 0.887804	valid_1's auc: 0.857367
[273]	training's auc: 0.887884	valid_1's auc: 0.857371
[274]	training's auc: 0.887995	valid_1's auc: 0.857427
[275]	training's auc: 0.888041	valid_1's auc: 0.857428
[276]	training's auc: 0.888087	valid_1's auc: 0.857418
[277]	training's auc: 0.888159	valid_1's auc: 0.857414
[278]	training's auc: 0.888218	valid_1's auc: 0.857421
[279]	training's auc: 0.888242	valid_1's auc: 0.857433
[280]	training's auc: 0.888293	valid_1's auc: 0.857425
[281]	training's auc: 0.888339	valid_1's auc: 0.857408
[282]	training's auc: 0.88841	valid_1's auc: 0.857382
[283]	training's auc: 0.888454	valid_1's auc: 0.857366
[284]	training's auc: 0.888621	valid_1's auc: 0.857361
[285]	training's auc: 0.888774	valid_1's auc: 0.857357
[286]	training's auc: 0.88884	valid_1's auc: 0.857359
[287]	training's auc: 0.888894	valid_1's auc: 0.857373
[288]	training's auc: 0.888958	valid_1's auc: 0.857338
[289]	training's auc: 0.888991	valid_1's auc: 0.85734
[290]	training's auc: 0.889033	valid_1's auc: 0.85733
[291]	training's auc: 0.889135	valid_1's auc: 0.857336
[292]	training's auc: 0.889203	valid_1's auc: 0.857332
[293]	training's auc: 0.889232	valid_1's auc: 0.857331
[294]	training's auc: 0.8893	valid_1's auc: 0.857323
[295]	training's auc: 0.889455	valid_1's auc: 0.857361
[296]	training's auc: 0.889499	valid_1's auc: 0.857354
[297]	training's auc: 0.889574	valid_1's auc: 0.857359
[298]	training's auc: 0.889627	valid_1's auc: 0.857373
[299]	training's auc: 0.88968	valid_1's auc: 0.857374
[300]	training's auc: 0.889781	valid_1's auc: 0.857436
[301]	training's auc: 0.889838	valid_1's auc: 0.857428
[302]	training's auc: 0.889891	valid_1's auc: 0.857428
[303]	training's auc: 0.890019	valid_1's auc: 0.857421
[304]	training's auc: 0.890083	valid_1's auc: 0.857432
[305]	training's auc: 0.890133	valid_1's auc: 0.857436
[306]	training's auc: 0.89017	valid_1's auc: 0.857446
[307]	training's auc: 0.890176	valid_1's auc: 0.857454
[308]	training's auc: 0.890215	valid_1's auc: 0.857441
[309]	training's auc: 0.890275	valid_1's auc: 0.857407
[310]	training's auc: 0.890286	valid_1's auc: 0.857402
[311]	training's auc: 0.890339	valid_1's auc: 0.857407
[312]	training's auc: 0.890395	valid_1's auc: 0.857401
[313]	training's auc: 0.890403	valid_1's auc: 0.857402
[314]	training's auc: 0.89041	valid_1's auc: 0.8574
[315]	training's auc: 0.890549	valid_1's auc: 0.857429
[316]	training's auc: 0.890649	valid_1's auc: 0.857402
[317]	training's auc: 0.890684	valid_1's auc: 0.857397
[318]	training's auc: 0.89072	valid_1's auc: 0.857406
[319]	training's auc: 0.890835	valid_1's auc: 0.857439
[320]	training's auc: 0.890849	valid_1's auc: 0.857468
[321]	training's auc: 0.890915	valid_1's auc: 0.857459
[322]	training's auc: 0.890983	valid_1's auc: 0.857454
[323]	training's auc: 0.891038	valid_1's auc: 0.85745
[324]	training's auc: 0.891087	valid_1's auc: 0.857451
[325]	training's auc: 0.891132	valid_1's auc: 0.857456
[326]	training's auc: 0.891177	valid_1's auc: 0.857462
[327]	training's auc: 0.891212	valid_1's auc: 0.857475
[328]	training's auc: 0.891276	valid_1's auc: 0.857471
[329]	training's auc: 0.891344	valid_1's auc: 0.857486
[330]	training's auc: 0.891501	valid_1's auc: 0.857533
[331]	training's auc: 0.891589	valid_1's auc: 0.857545
[332]	training's auc: 0.891612	valid_1's auc: 0.857559
[333]	training's auc: 0.89169	valid_1's auc: 0.857545
[334]	training's auc: 0.891724	valid_1's auc: 0.857549
[335]	training's auc: 0.891822	valid_1's auc: 0.857525
[336]	training's auc: 0.891884	valid_1's auc: 0.857523
[337]	training's auc: 0.891932	valid_1's auc: 0.857525
[338]	training's auc: 0.891971	valid_1's auc: 0.857537
[339]	training's auc: 0.892067	valid_1's auc: 0.857544
[340]	training's auc: 0.892108	valid_1's auc: 0.857541
[341]	training's auc: 0.892174	valid_1's auc: 0.857521
[342]	training's auc: 0.892232	valid_1's auc: 0.857526
[343]	training's auc: 0.892318	valid_1's auc: 0.857544
[344]	training's auc: 0.892351	valid_1's auc: 0.857559
[345]	training's auc: 0.892417	valid_1's auc: 0.857542
[346]	training's auc: 0.892453	valid_1's auc: 0.85754
[347]	training's auc: 0.892504	valid_1's auc: 0.857563
[348]	training's auc: 0.892543	valid_1's auc: 0.857553
[349]	training's auc: 0.892581	valid_1's auc: 0.857556
[350]	training's auc: 0.892639	valid_1's auc: 0.857548
[351]	training's auc: 0.892694	valid_1's auc: 0.857527
[352]	training's auc: 0.892794	valid_1's auc: 0.857571
[353]	training's auc: 0.892808	valid_1's auc: 0.857572
[354]	training's auc: 0.892819	valid_1's auc: 0.85757
[355]	training's auc: 0.892859	valid_1's auc: 0.857572
[356]	training's auc: 0.8929	valid_1's auc: 0.857561
[357]	training's auc: 0.892984	valid_1's auc: 0.857563
[358]	training's auc: 0.893023	valid_1's auc: 0.857564
[359]	training's auc: 0.893097	valid_1's auc: 0.857567
[360]	training's auc: 0.893129	valid_1's auc: 0.85756
[361]	training's auc: 0.89324	valid_1's auc: 0.857543
[362]	training's auc: 0.893305	valid_1's auc: 0.857526
[363]	training's auc: 0.89331	valid_1's auc: 0.857525
[364]	training's auc: 0.893367	valid_1's auc: 0.85755
[365]	training's auc: 0.893381	valid_1's auc: 0.857551
[366]	training's auc: 0.893462	valid_1's auc: 0.85755
[367]	training's auc: 0.893544	valid_1's auc: 0.857572
[368]	training's auc: 0.893588	valid_1's auc: 0.857563
[369]	training's auc: 0.893658	valid_1's auc: 0.85759
[370]	training's auc: 0.893688	valid_1's auc: 0.857592
[371]	training's auc: 0.89373	valid_1's auc: 0.857577
[372]	training's auc: 0.89377	valid_1's auc: 0.857563
[373]	training's auc: 0.893818	valid_1's auc: 0.85757
[374]	training's auc: 0.893864	valid_1's auc: 0.857569
[375]	training's auc: 0.893933	valid_1's auc: 0.85755
[376]	training's auc: 0.89397	valid_1's auc: 0.857556
[377]	training's auc: 0.894038	valid_1's auc: 0.857553
[378]	training's auc: 0.894097	valid_1's auc: 0.857543
[379]	training's auc: 0.894122	valid_1's auc: 0.857553
[380]	training's auc: 0.894202	valid_1's auc: 0.857538
[381]	training's auc: 0.894249	valid_1's auc: 0.857535
[382]	training's auc: 0.894281	valid_1's auc: 0.857532
[383]	training's auc: 0.894367	valid_1's auc: 0.857534
[384]	training's auc: 0.894375	valid_1's auc: 0.857532
[385]	training's auc: 0.894417	valid_1's auc: 0.857502
[386]	training's auc: 0.894488	valid_1's auc: 0.857515
[387]	training's auc: 0.894504	valid_1's auc: 0.85753
[388]	training's auc: 0.894549	valid_1's auc: 0.857503
[389]	training's auc: 0.894589	valid_1's auc: 0.857477
[390]	training's auc: 0.894627	valid_1's auc: 0.857472
[391]	training's auc: 0.894691	valid_1's auc: 0.857484
[392]	training's auc: 0.894753	valid_1's auc: 0.857466
[393]	training's auc: 0.894789	valid_1's auc: 0.857453
[394]	training's auc: 0.894883	valid_1's auc: 0.857432
[395]	training's auc: 0.894938	valid_1's auc: 0.857424
[396]	training's auc: 0.895017	valid_1's auc: 0.857392
[397]	training's auc: 0.895091	valid_1's auc: 0.85741
[398]	training's auc: 0.895124	valid_1's auc: 0.857399
[399]	training's auc: 0.895152	valid_1's auc: 0.857391
[400]	training's auc: 0.895185	valid_1's auc: 0.857391
[401]	training's auc: 0.895265	valid_1's auc: 0.857408
[402]	training's auc: 0.895344	valid_1's auc: 0.857394
[403]	training's auc: 0.895351	valid_1's auc: 0.857395
[404]	training's auc: 0.895408	valid_1's auc: 0.857404
[405]	training's auc: 0.895457	valid_1's auc: 0.85745
[406]	training's auc: 0.895521	valid_1's auc: 0.857452
[407]	training's auc: 0.89555	valid_1's auc: 0.857443
[408]	training's auc: 0.895558	valid_1's auc: 0.857429
[409]	training's auc: 0.895585	valid_1's auc: 0.857426
[410]	training's auc: 0.895599	valid_1's auc: 0.857426
[411]	training's auc: 0.895607	valid_1's auc: 0.857416
[412]	training's auc: 0.895634	valid_1's auc: 0.857405
[413]	training's auc: 0.895693	valid_1's auc: 0.857401
[414]	training's auc: 0.895779	valid_1's auc: 0.857399
[415]	training's auc: 0.895869	valid_1's auc: 0.857399
[416]	training's auc: 0.895923	valid_1's auc: 0.857399
[417]	training's auc: 0.89608	valid_1's auc: 0.857405
[418]	training's auc: 0.896112	valid_1's auc: 0.857409
[419]	training's auc: 0.896154	valid_1's auc: 0.857409
[420]	training's auc: 0.896189	valid_1's auc: 0.857401
Early stopping, best iteration is:
[370]	training's auc: 0.893688	valid_1's auc: 0.857592
VALID AUC : 0.8575922637621407 ACC : 0.8029141104294478
