[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.782138	valid_1's auc: 0.732162
[122]	training's auc: 0.874159	valid_1's auc: 0.831609
[123]	training's auc: 0.874318	valid_1's auc: 0.831647
[124]	training's auc: 0.874506	valid_1's auc: 0.831604
[125]	training's auc: 0.874623	valid_1's auc: 0.831617
[126]	training's auc: 0.874756	valid_1's auc: 0.831631
[127]	training's auc: 0.874933	valid_1's auc: 0.831766
[128]	training's auc: 0.875077	valid_1's auc: 0.831739
[129]	training's auc: 0.875162	valid_1's auc: 0.831872
[130]	training's auc: 0.875277	valid_1's auc: 0.831983
[131]	training's auc: 0.875358	valid_1's auc: 0.832024
[132]	training's auc: 0.875457	valid_1's auc: 0.832048
[133]	training's auc: 0.875608	valid_1's auc: 0.832095
[134]	training's auc: 0.87574	valid_1's auc: 0.832146
[135]	training's auc: 0.875901	valid_1's auc: 0.832156
[136]	training's auc: 0.876012	valid_1's auc: 0.832191
[137]	training's auc: 0.876129	valid_1's auc: 0.832239
[138]	training's auc: 0.876245	valid_1's auc: 0.83224
[139]	training's auc: 0.876368	valid_1's auc: 0.832429
[140]	training's auc: 0.876452	valid_1's auc: 0.832448
[141]	training's auc: 0.876488	valid_1's auc: 0.832459
[142]	training's auc: 0.876607	valid_1's auc: 0.83241
[143]	training's auc: 0.876685	valid_1's auc: 0.832431
[144]	training's auc: 0.876859	valid_1's auc: 0.832526
[145]	training's auc: 0.876974	valid_1's auc: 0.832648
[146]	training's auc: 0.877095	valid_1's auc: 0.832621
[147]	training's auc: 0.877168	valid_1's auc: 0.832723
[148]	training's auc: 0.877249	valid_1's auc: 0.832803
[149]	training's auc: 0.877327	valid_1's auc: 0.832775
[150]	training's auc: 0.877503	valid_1's auc: 0.832958
[151]	training's auc: 0.877614	valid_1's auc: 0.832947
[152]	training's auc: 0.877768	valid_1's auc: 0.832903
[153]	training's auc: 0.877857	valid_1's auc: 0.83291
[154]	training's auc: 0.877983	valid_1's auc: 0.832887
[155]	training's auc: 0.878095	valid_1's auc: 0.832967
[156]	training's auc: 0.878201	valid_1's auc: 0.833012
[157]	training's auc: 0.878261	valid_1's auc: 0.833004
[158]	training's auc: 0.878382	valid_1's auc: 0.833051
[159]	training's auc: 0.878485	valid_1's auc: 0.833066
[160]	training's auc: 0.878629	valid_1's auc: 0.833105
[161]	training's auc: 0.878773	valid_1's auc: 0.833061
[162]	training's auc: 0.878883	valid_1's auc: 0.833094
[163]	training's auc: 0.878968	valid_1's auc: 0.833101
[164]	training's auc: 0.879047	valid_1's auc: 0.833084
[165]	training's auc: 0.879082	valid_1's auc: 0.833136
[166]	training's auc: 0.879163	valid_1's auc: 0.83317
[167]	training's auc: 0.879283	valid_1's auc: 0.833045
[168]	training's auc: 0.879352	valid_1's auc: 0.833096
[169]	training's auc: 0.879465	valid_1's auc: 0.833162
[170]	training's auc: 0.879592	valid_1's auc: 0.83316
[171]	training's auc: 0.879679	valid_1's auc: 0.83318
[172]	training's auc: 0.879774	valid_1's auc: 0.83324
[173]	training's auc: 0.879851	valid_1's auc: 0.833186
[174]	training's auc: 0.879961	valid_1's auc: 0.833224
[175]	training's auc: 0.880068	valid_1's auc: 0.833252
[176]	training's auc: 0.880182	valid_1's auc: 0.833386
[177]	training's auc: 0.880269	valid_1's auc: 0.833341
[178]	training's auc: 0.880351	valid_1's auc: 0.833324
[179]	training's auc: 0.880471	valid_1's auc: 0.833252
[180]	training's auc: 0.880582	valid_1's auc: 0.833278
[181]	training's auc: 0.88066	valid_1's auc: 0.833282
[182]	training's auc: 0.880722	valid_1's auc: 0.833287
[183]	training's auc: 0.880815	valid_1's auc: 0.833229
[184]	training's auc: 0.880881	valid_1's auc: 0.833212
[185]	training's auc: 0.880984	valid_1's auc: 0.833243
[186]	training's auc: 0.881107	valid_1's auc: 0.833227
[187]	training's auc: 0.881155	valid_1's auc: 0.833308
[188]	training's auc: 0.881243	valid_1's auc: 0.833328
[189]	training's auc: 0.881334	valid_1's auc: 0.833264
[190]	training's auc: 0.881394	valid_1's auc: 0.833239
[191]	training's auc: 0.881446	valid_1's auc: 0.833222
[192]	training's auc: 0.881535	valid_1's auc: 0.833237
[193]	training's auc: 0.881661	valid_1's auc: 0.83325
[194]	training's auc: 0.881802	valid_1's auc: 0.833209
[195]	training's auc: 0.881896	valid_1's auc: 0.833183
[196]	training's auc: 0.882011	valid_1's auc: 0.833205
[197]	training's auc: 0.88211	valid_1's auc: 0.833096
[198]	training's auc: 0.882205	valid_1's auc: 0.833084
[199]	training's auc: 0.882278	valid_1's auc: 0.833084
[200]	training's auc: 0.882352	valid_1's auc: 0.83319
[201]	training's auc: 0.88244	valid_1's auc: 0.833256
[202]	training's auc: 0.882531	valid_1's auc: 0.83319
[203]	training's auc: 0.882558	valid_1's auc: 0.833229
[204]	training's auc: 0.882653	valid_1's auc: 0.83324
[205]	training's auc: 0.882747	valid_1's auc: 0.833292
[206]	training's auc: 0.88281	valid_1's auc: 0.833319
[207]	training's auc: 0.88289	valid_1's auc: 0.833359
[208]	training's auc: 0.882945	valid_1's auc: 0.833312
[209]	training's auc: 0.883058	valid_1's auc: 0.833326
[210]	training's auc: 0.883188	valid_1's auc: 0.833341
[211]	training's auc: 0.883264	valid_1's auc: 0.833297
[212]	training's auc: 0.883339	valid_1's auc: 0.833278
[213]	training's auc: 0.883406	valid_1's auc: 0.833272
[214]	training's auc: 0.883514	valid_1's auc: 0.8333
[215]	training's auc: 0.883603	valid_1's auc: 0.833363
[216]	training's auc: 0.88368	valid_1's auc: 0.833366
[217]	training's auc: 0.88377	valid_1's auc: 0.833358
[218]	training's auc: 0.883846	valid_1's auc: 0.833343
[219]	training's auc: 0.883973	valid_1's auc: 0.833347
[220]	training's auc: 0.884077	valid_1's auc: 0.833347
[221]	training's auc: 0.884165	valid_1's auc: 0.833299
[222]	training's auc: 0.884214	valid_1's auc: 0.833299
[223]	training's auc: 0.884282	valid_1's auc: 0.833383
[224]	training's auc: 0.884339	valid_1's auc: 0.833481
[225]	training's auc: 0.884395	valid_1's auc: 0.833473
[226]	training's auc: 0.884484	valid_1's auc: 0.833515
[227]	training's auc: 0.884597	valid_1's auc: 0.833526
[228]	training's auc: 0.884654	valid_1's auc: 0.833432
[229]	training's auc: 0.884756	valid_1's auc: 0.833425
[230]	training's auc: 0.884817	valid_1's auc: 0.833406
[231]	training's auc: 0.884915	valid_1's auc: 0.83338
[232]	training's auc: 0.885026	valid_1's auc: 0.833382
[233]	training's auc: 0.885092	valid_1's auc: 0.833431
[234]	training's auc: 0.885171	valid_1's auc: 0.833422
[235]	training's auc: 0.885244	valid_1's auc: 0.83345
[236]	training's auc: 0.885335	valid_1's auc: 0.833438
[237]	training's auc: 0.885413	valid_1's auc: 0.8334
[238]	training's auc: 0.885502	valid_1's auc: 0.833351
[239]	training's auc: 0.885592	valid_1's auc: 0.833331
[240]	training's auc: 0.885688	valid_1's auc: 0.833364
[241]	training's auc: 0.885775	valid_1's auc: 0.833356
[242]	training's auc: 0.885832	valid_1's auc: 0.833306
[243]	training's auc: 0.885916	valid_1's auc: 0.833267
[244]	training's auc: 0.885985	valid_1's auc: 0.833308
[245]	training's auc: 0.886071	valid_1's auc: 0.833296
[246]	training's auc: 0.886152	valid_1's auc: 0.833386
[247]	training's auc: 0.886252	valid_1's auc: 0.83351
[248]	training's auc: 0.886352	valid_1's auc: 0.833408
[249]	training's auc: 0.886424	valid_1's auc: 0.833407
[250]	training's auc: 0.88651	valid_1's auc: 0.833387
[251]	training's auc: 0.886588	valid_1's auc: 0.833378
[252]	training's auc: 0.886667	valid_1's auc: 0.833367
[253]	training's auc: 0.886736	valid_1's auc: 0.833446
[254]	training's auc: 0.886858	valid_1's auc: 0.833442
[255]	training's auc: 0.886916	valid_1's auc: 0.833424
[256]	training's auc: 0.886961	valid_1's auc: 0.833402
[257]	training's auc: 0.887044	valid_1's auc: 0.833501
[258]	training's auc: 0.887111	valid_1's auc: 0.833524
[259]	training's auc: 0.887217	valid_1's auc: 0.833545
[260]	training's auc: 0.887321	valid_1's auc: 0.833582
[261]	training's auc: 0.887394	valid_1's auc: 0.833546
[262]	training's auc: 0.887443	valid_1's auc: 0.833515
[263]	training's auc: 0.887485	valid_1's auc: 0.83349
[264]	training's auc: 0.887532	valid_1's auc: 0.833558
[265]	training's auc: 0.887623	valid_1's auc: 0.833519
[266]	training's auc: 0.887759	valid_1's auc: 0.833636
[267]	training's auc: 0.887846	valid_1's auc: 0.833681
[268]	training's auc: 0.887926	valid_1's auc: 0.833664
[269]	training's auc: 0.887971	valid_1's auc: 0.833699
[270]	training's auc: 0.888049	valid_1's auc: 0.833706
[271]	training's auc: 0.888105	valid_1's auc: 0.833756
[272]	training's auc: 0.888223	valid_1's auc: 0.833854
[273]	training's auc: 0.888272	valid_1's auc: 0.833836
[274]	training's auc: 0.88835	valid_1's auc: 0.833821
[275]	training's auc: 0.88843	valid_1's auc: 0.833856
[276]	training's auc: 0.888509	valid_1's auc: 0.833863
[277]	training's auc: 0.888555	valid_1's auc: 0.83389
[278]	training's auc: 0.888595	valid_1's auc: 0.833904
[279]	training's auc: 0.888655	valid_1's auc: 0.833936
[280]	training's auc: 0.888719	valid_1's auc: 0.833961
[281]	training's auc: 0.88876	valid_1's auc: 0.833965
[282]	training's auc: 0.888832	valid_1's auc: 0.83394
[283]	training's auc: 0.888889	valid_1's auc: 0.833942
[284]	training's auc: 0.888968	valid_1's auc: 0.833982
[285]	training's auc: 0.88903	valid_1's auc: 0.834
[286]	training's auc: 0.889081	valid_1's auc: 0.834011
[287]	training's auc: 0.889145	valid_1's auc: 0.834051
[288]	training's auc: 0.889199	valid_1's auc: 0.834067
[289]	training's auc: 0.889255	valid_1's auc: 0.834067
[290]	training's auc: 0.889333	valid_1's auc: 0.834131
[291]	training's auc: 0.889403	valid_1's auc: 0.834118
[292]	training's auc: 0.889471	valid_1's auc: 0.834152
[293]	training's auc: 0.88954	valid_1's auc: 0.834069
[294]	training's auc: 0.889611	valid_1's auc: 0.834076
[295]	training's auc: 0.889662	valid_1's auc: 0.834072
[296]	training's auc: 0.889725	valid_1's auc: 0.834047
[297]	training's auc: 0.889802	valid_1's auc: 0.834074
[298]	training's auc: 0.889822	valid_1's auc: 0.834135
[299]	training's auc: 0.889875	valid_1's auc: 0.83414
[300]	training's auc: 0.889895	valid_1's auc: 0.834205
[301]	training's auc: 0.88991	valid_1's auc: 0.834221
[302]	training's auc: 0.889955	valid_1's auc: 0.834222
[303]	training's auc: 0.890032	valid_1's auc: 0.834289
[304]	training's auc: 0.89008	valid_1's auc: 0.834274
[305]	training's auc: 0.890123	valid_1's auc: 0.83432
[306]	training's auc: 0.89018	valid_1's auc: 0.834346
[307]	training's auc: 0.890232	valid_1's auc: 0.834333
[308]	training's auc: 0.890324	valid_1's auc: 0.834296
[309]	training's auc: 0.890376	valid_1's auc: 0.83431
[310]	training's auc: 0.890429	valid_1's auc: 0.834299
[311]	training's auc: 0.890469	valid_1's auc: 0.834256
[312]	training's auc: 0.890529	valid_1's auc: 0.834203
[313]	training's auc: 0.890631	valid_1's auc: 0.834154
[314]	training's auc: 0.890719	valid_1's auc: 0.834124
[315]	training's auc: 0.890776	valid_1's auc: 0.834076
[316]	training's auc: 0.890844	valid_1's auc: 0.834065
[317]	training's auc: 0.89088	valid_1's auc: 0.834081
[318]	training's auc: 0.890937	valid_1's auc: 0.834097
[319]	training's auc: 0.890981	valid_1's auc: 0.834091
[320]	training's auc: 0.891042	valid_1's auc: 0.834017
[321]	training's auc: 0.891093	valid_1's auc: 0.834
[322]	training's auc: 0.891149	valid_1's auc: 0.834021
[323]	training's auc: 0.891195	valid_1's auc: 0.834037
[324]	training's auc: 0.891274	valid_1's auc: 0.834052
[325]	training's auc: 0.891317	valid_1's auc: 0.834057
[326]	training's auc: 0.891373	valid_1's auc: 0.834038
[327]	training's auc: 0.891422	valid_1's auc: 0.834069
[328]	training's auc: 0.891488	valid_1's auc: 0.834053
[329]	training's auc: 0.891554	valid_1's auc: 0.834041
[330]	training's auc: 0.891597	valid_1's auc: 0.834069
[331]	training's auc: 0.891658	valid_1's auc: 0.834
[332]	training's auc: 0.891699	valid_1's auc: 0.83405
[333]	training's auc: 0.891738	valid_1's auc: 0.834038
[334]	training's auc: 0.891774	valid_1's auc: 0.833978
[335]	training's auc: 0.891861	valid_1's auc: 0.834001
[336]	training's auc: 0.891937	valid_1's auc: 0.83399
[337]	training's auc: 0.891967	valid_1's auc: 0.834075
[338]	training's auc: 0.892028	valid_1's auc: 0.834067
[339]	training's auc: 0.892086	valid_1's auc: 0.834154
[340]	training's auc: 0.8922	valid_1's auc: 0.834136
[341]	training's auc: 0.892254	valid_1's auc: 0.834125
[342]	training's auc: 0.89229	valid_1's auc: 0.834111
[343]	training's auc: 0.892347	valid_1's auc: 0.834109
[344]	training's auc: 0.892388	valid_1's auc: 0.834109
[345]	training's auc: 0.892446	valid_1's auc: 0.834065
[346]	training's auc: 0.8925	valid_1's auc: 0.834032
[347]	training's auc: 0.892562	valid_1's auc: 0.833949
[348]	training's auc: 0.892609	valid_1's auc: 0.833939
[349]	training's auc: 0.892633	valid_1's auc: 0.83399
[350]	training's auc: 0.892687	valid_1's auc: 0.833982
[351]	training's auc: 0.892752	valid_1's auc: 0.833996
[352]	training's auc: 0.892809	valid_1's auc: 0.833995
[353]	training's auc: 0.892856	valid_1's auc: 0.834002
[354]	training's auc: 0.892878	valid_1's auc: 0.834024
[355]	training's auc: 0.89293	valid_1's auc: 0.834057
[356]	training's auc: 0.892946	valid_1's auc: 0.834044
[357]	training's auc: 0.892998	valid_1's auc: 0.834011
[358]	training's auc: 0.893099	valid_1's auc: 0.834043
[359]	training's auc: 0.893141	valid_1's auc: 0.834094
[360]	training's auc: 0.89318	valid_1's auc: 0.834062
[361]	training's auc: 0.893217	valid_1's auc: 0.834054
[362]	training's auc: 0.89326	valid_1's auc: 0.834019
[363]	training's auc: 0.893311	valid_1's auc: 0.834031
[364]	training's auc: 0.893339	valid_1's auc: 0.834023
[365]	training's auc: 0.893375	valid_1's auc: 0.834004
[366]	training's auc: 0.893414	valid_1's auc: 0.833979
[367]	training's auc: 0.893472	valid_1's auc: 0.833982
[368]	training's auc: 0.893543	valid_1's auc: 0.833951
[369]	training's auc: 0.893622	valid_1's auc: 0.833914
[370]	training's auc: 0.893678	valid_1's auc: 0.833904
[371]	training's auc: 0.893706	valid_1's auc: 0.833889
[372]	training's auc: 0.893754	valid_1's auc: 0.833896
[373]	training's auc: 0.893802	valid_1's auc: 0.833887
[374]	training's auc: 0.893857	valid_1's auc: 0.833889
[375]	training's auc: 0.893903	valid_1's auc: 0.833851
[376]	training's auc: 0.893968	valid_1's auc: 0.833834
[377]	training's auc: 0.894009	valid_1's auc: 0.833835
[378]	training's auc: 0.894098	valid_1's auc: 0.833989
[379]	training's auc: 0.894141	valid_1's auc: 0.834012
[380]	training's auc: 0.894181	valid_1's auc: 0.833992
[381]	training's auc: 0.89424	valid_1's auc: 0.833948
[382]	training's auc: 0.894284	valid_1's auc: 0.833922
[383]	training's auc: 0.894338	valid_1's auc: 0.833919
[384]	training's auc: 0.894372	valid_1's auc: 0.833862
[385]	training's auc: 0.894419	valid_1's auc: 0.833821
[386]	training's auc: 0.894497	valid_1's auc: 0.833736
[387]	training's auc: 0.894539	valid_1's auc: 0.833729
[388]	training's auc: 0.894574	valid_1's auc: 0.8337
[389]	training's auc: 0.894603	valid_1's auc: 0.833698
[390]	training's auc: 0.894678	valid_1's auc: 0.833708
[391]	training's auc: 0.894722	valid_1's auc: 0.833667
[392]	training's auc: 0.894756	valid_1's auc: 0.833703
[393]	training's auc: 0.894793	valid_1's auc: 0.833696
[394]	training's auc: 0.89484	valid_1's auc: 0.833704
[395]	training's auc: 0.894865	valid_1's auc: 0.833768
[396]	training's auc: 0.89493	valid_1's auc: 0.833779
Early stopping, best iteration is:
[306]	training's auc: 0.89018	valid_1's auc: 0.834346
VALID AUC : 0.8343459751832452 ACC : 0.7535608707336737
