[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.821564	valid_1's auc: 0.8216
[119]	training's auc: 0.881479	valid_1's auc: 0.856871
[120]	training's auc: 0.881595	valid_1's auc: 0.856848
[121]	training's auc: 0.881774	valid_1's auc: 0.856836
[122]	training's auc: 0.881795	valid_1's auc: 0.856848
[123]	training's auc: 0.881867	valid_1's auc: 0.856845
[124]	training's auc: 0.881942	valid_1's auc: 0.856842
[125]	training's auc: 0.88203	valid_1's auc: 0.856827
[126]	training's auc: 0.882247	valid_1's auc: 0.856728
[127]	training's auc: 0.882347	valid_1's auc: 0.856787
[128]	training's auc: 0.88246	valid_1's auc: 0.856802
[129]	training's auc: 0.882555	valid_1's auc: 0.856789
[130]	training's auc: 0.882672	valid_1's auc: 0.856783
[131]	training's auc: 0.882847	valid_1's auc: 0.856756
[132]	training's auc: 0.883078	valid_1's auc: 0.856744
[133]	training's auc: 0.883248	valid_1's auc: 0.856786
[134]	training's auc: 0.883298	valid_1's auc: 0.856802
[135]	training's auc: 0.883316	valid_1's auc: 0.856819
[136]	training's auc: 0.883331	valid_1's auc: 0.856832
[137]	training's auc: 0.883544	valid_1's auc: 0.856855
[138]	training's auc: 0.883579	valid_1's auc: 0.856853
[139]	training's auc: 0.883751	valid_1's auc: 0.856849
[140]	training's auc: 0.883924	valid_1's auc: 0.856837
[141]	training's auc: 0.883935	valid_1's auc: 0.856848
[142]	training's auc: 0.884108	valid_1's auc: 0.856912
[143]	training's auc: 0.884113	valid_1's auc: 0.856894
[144]	training's auc: 0.884206	valid_1's auc: 0.856967
[145]	training's auc: 0.884315	valid_1's auc: 0.857
[146]	training's auc: 0.884384	valid_1's auc: 0.856971
[147]	training's auc: 0.884499	valid_1's auc: 0.856946
[148]	training's auc: 0.884645	valid_1's auc: 0.856949
[149]	training's auc: 0.884691	valid_1's auc: 0.856955
[150]	training's auc: 0.884769	valid_1's auc: 0.856947
[151]	training's auc: 0.88485	valid_1's auc: 0.856971
[152]	training's auc: 0.884912	valid_1's auc: 0.85696
[153]	training's auc: 0.884947	valid_1's auc: 0.856957
[154]	training's auc: 0.88495	valid_1's auc: 0.856951
[155]	training's auc: 0.885035	valid_1's auc: 0.856953
[156]	training's auc: 0.885218	valid_1's auc: 0.857051
[157]	training's auc: 0.885248	valid_1's auc: 0.85705
[158]	training's auc: 0.885273	valid_1's auc: 0.857049
[159]	training's auc: 0.885398	valid_1's auc: 0.857053
[160]	training's auc: 0.885514	valid_1's auc: 0.857051
[161]	training's auc: 0.885531	valid_1's auc: 0.857073
[162]	training's auc: 0.885584	valid_1's auc: 0.857068
[163]	training's auc: 0.885618	valid_1's auc: 0.857061
[164]	training's auc: 0.885703	valid_1's auc: 0.857059
[165]	training's auc: 0.885821	valid_1's auc: 0.857044
[166]	training's auc: 0.885951	valid_1's auc: 0.857034
[167]	training's auc: 0.886013	valid_1's auc: 0.857003
[168]	training's auc: 0.886159	valid_1's auc: 0.856988
[169]	training's auc: 0.886185	valid_1's auc: 0.857006
[170]	training's auc: 0.886314	valid_1's auc: 0.857002
[171]	training's auc: 0.886372	valid_1's auc: 0.857018
[172]	training's auc: 0.886478	valid_1's auc: 0.857003
[173]	training's auc: 0.886634	valid_1's auc: 0.857048
[174]	training's auc: 0.886716	valid_1's auc: 0.857029
[175]	training's auc: 0.886802	valid_1's auc: 0.857031
[176]	training's auc: 0.886943	valid_1's auc: 0.857014
[177]	training's auc: 0.887076	valid_1's auc: 0.856989
[178]	training's auc: 0.88709	valid_1's auc: 0.857003
[179]	training's auc: 0.887222	valid_1's auc: 0.85699
[180]	training's auc: 0.887252	valid_1's auc: 0.856967
[181]	training's auc: 0.887276	valid_1's auc: 0.85699
[182]	training's auc: 0.887397	valid_1's auc: 0.856996
[183]	training's auc: 0.887557	valid_1's auc: 0.856989
[184]	training's auc: 0.887634	valid_1's auc: 0.85699
[185]	training's auc: 0.887816	valid_1's auc: 0.856957
[186]	training's auc: 0.887946	valid_1's auc: 0.856961
[187]	training's auc: 0.888089	valid_1's auc: 0.856936
[188]	training's auc: 0.888225	valid_1's auc: 0.856904
[189]	training's auc: 0.888376	valid_1's auc: 0.856892
[190]	training's auc: 0.888411	valid_1's auc: 0.856893
[191]	training's auc: 0.888457	valid_1's auc: 0.856898
[192]	training's auc: 0.888567	valid_1's auc: 0.856892
[193]	training's auc: 0.888582	valid_1's auc: 0.856884
[194]	training's auc: 0.888586	valid_1's auc: 0.856867
[195]	training's auc: 0.888714	valid_1's auc: 0.856904
[196]	training's auc: 0.888736	valid_1's auc: 0.85689
[197]	training's auc: 0.888815	valid_1's auc: 0.856855
[198]	training's auc: 0.888881	valid_1's auc: 0.856835
[199]	training's auc: 0.889046	valid_1's auc: 0.856832
[200]	training's auc: 0.889086	valid_1's auc: 0.856839
[201]	training's auc: 0.889158	valid_1's auc: 0.856839
[202]	training's auc: 0.889249	valid_1's auc: 0.856818
[203]	training's auc: 0.889357	valid_1's auc: 0.856775
[204]	training's auc: 0.889404	valid_1's auc: 0.856755
[205]	training's auc: 0.889508	valid_1's auc: 0.856731
[206]	training's auc: 0.889607	valid_1's auc: 0.856718
[207]	training's auc: 0.889668	valid_1's auc: 0.856704
[208]	training's auc: 0.889713	valid_1's auc: 0.856716
[209]	training's auc: 0.889817	valid_1's auc: 0.85671
[210]	training's auc: 0.889935	valid_1's auc: 0.856701
[211]	training's auc: 0.890001	valid_1's auc: 0.856692
Early stopping, best iteration is:
[161]	training's auc: 0.885531	valid_1's auc: 0.857073
VALID AUC : 0.8570733101182781 ACC : 0.8025023286257332
